"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 28 09:24:55 CST 2025","Tue Oct 28 09:24:55 CST 2025","3","testcases","test_error_response","TestCallApi","","","test_call_api_with_error_status_codes[401-API调用失败：401 Client Error]","测试各种HTTP错误状态码"
"broken","Tue Oct 28 09:24:55 CST 2025","Tue Oct 28 09:24:55 CST 2025","2","testcases","test_demo1","","","","test_api_negative_002",""
"passed","Tue Oct 28 09:24:55 CST 2025","Tue Oct 28 09:24:55 CST 2025","5","testcases","test_error_response","TestCallApi","","","test_call_api_with_error_status_codes[502-API调用失败：502 Server Error]","测试各种HTTP错误状态码"
"passed","Tue Oct 28 09:24:55 CST 2025","Tue Oct 28 09:24:55 CST 2025","3","testcases","test_error_response","TestCallApi","","","test_call_api_with_error_status_codes[400-API调用失败：400 Client Error]","测试各种HTTP错误状态码"
"passed","Tue Oct 28 09:24:55 CST 2025","Tue Oct 28 09:24:55 CST 2025","3","testcases","test_error_response","TestCallApi","","","test_call_api_with_parameters","测试带参数的调用"
"passed","Tue Oct 28 09:24:55 CST 2025","Tue Oct 28 09:24:55 CST 2025","1","testcases","test_error_response","TestCallApi","","","test_call_api_with_request_exception","测试其他请求异常"
"passed","Tue Apr 18 21:50:10 CST 2023","Tue Apr 18 21:50:10 CST 2023","178","testcases","test_get","test_get","","","test_get_qqname[qqlist2]",""
"passed","Tue Oct 28 09:25:00 CST 2025","Tue Oct 28 09:25:00 CST 2025","732","testcases","test_placeholder_api","Test_api","","","test_post_request",""
"broken","Tue Oct 28 09:24:57 CST 2025","Tue Oct 28 09:24:57 CST 2025","318","testcases","test_get","test_get","","","test_get_qqname2[qqlist1]",""
"passed","Tue Oct 28 09:24:52 CST 2025","Tue Oct 28 09:24:52 CST 2025","0","testcases","test_api","test_api","","","test_01[b-18]",""
"passed","Tue Oct 28 09:24:52 CST 2025","Tue Oct 28 09:24:52 CST 2025","0","testcases","test_api","test_api","","","test_01[c-60]",""
"broken","Tue Oct 28 09:24:56 CST 2025","Tue Oct 28 09:24:56 CST 2025","320","testcases","test_get","test_get","","","test_get_qqname[599928887]",""
"passed","Tue Oct 28 09:24:52 CST 2025","Tue Oct 28 09:24:52 CST 2025","1","testcases","test_02","TestClass1","","","test_case_04",""
"passed","Tue Oct 28 09:24:58 CST 2025","Tue Oct 28 09:24:59 CST 2025","732","testcases","test_placeholder_api","Test_api","","","test_get_request",""
"broken","Tue Apr 18 21:16:37 CST 2023","Tue Apr 18 21:16:37 CST 2023","0","testcases","test_get","test_get","","","test_get_qqname",""
"passed","Tue Apr 18 21:50:10 CST 2023","Tue Apr 18 21:50:10 CST 2023","153","testcases","test_get","test_get","","","test_get_qqname[qqlist1]",""
"passed","Tue Oct 28 09:24:54 CST 2025","Tue Oct 28 09:24:55 CST 2025","605","testcases","test_demo1","","","","test_api_001",""
"passed","Tue Oct 28 09:24:54 CST 2025","Tue Oct 28 09:24:54 CST 2025","667","testcases","test_api_auto","Test_request","","","test_execute_api[test_info1]",""
"broken","Tue Oct 28 09:24:57 CST 2025","Tue Oct 28 09:24:57 CST 2025","284","testcases","test_get","test_get","","","test_get_qqname2[qqlist0]",""
"passed","Tue Oct 28 09:24:55 CST 2025","Tue Oct 28 09:24:55 CST 2025","3","testcases","test_error_response","TestCallApi","","","test_call_api_with_error_status_codes[403-API调用失败：403 Client Error]","测试各种HTTP错误状态码"
"passed","Tue Apr 18 21:50:10 CST 2023","Tue Apr 18 21:50:10 CST 2023","406","testcases","test_get","test_get","","","test_get_qqname[qqlist3]",""
"broken","Tue Oct 28 09:24:55 CST 2025","Tue Oct 28 09:24:56 CST 2025","577","testcases","test_get","test_get","","","test_get_qqname[2586168620]",""
